,imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
68,7904889,BERLIN,Passenger ship,2018.0,EEDI (20.63 gCO₂/t·nm),Valletta,,,28/06/2019,30/06/2020,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,,,3738.87,,11986.82,8694.8,1137.71,1004.44,1149.86,,,,3343.42,84.13,,,,251.81,,269.71,,,,807.31,,,3343.42,,,,,,,,,,,,,,,,
69,7907245,STENA DANICA,Ro-pax ship,2018.0,,Gothenburg,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,11260.0,,35505.89,31724.46,0.0,0.0,3781.43,22895.57,12610.33,,4792.0,168.39,,,,222.01,54.87,530.97,,,,700.15,172.99,,4792.0,,,,,,,,,,,,,,,,
70,7907659,STENA VISION,Ro-pax ship,2018.0,,Karlskrona,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,17916.0,,56476.14,54248.02,0.0,0.0,2228.13,39637.5,16838.64,,7276.0,157.9,,,,220.35,19.67,497.74,,,,694.61,62.0,,7276.0,,,,,,,,,,,,,,,,
71,7907661,STENA SPIRIT,Ro-pax ship,2018.0,,Nassau,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,15452.0,,48692.77,47289.7,0.0,0.0,1403.08,34228.86,14463.92,,6952.0,149.06,,,,196.96,19.56,469.72,,,,620.68,61.63,,6952.0,,,,,,,,,,,,,,,,
72,7907673,EL. VENIZELOS,Ro-pax ship,2018.0,EIV (35.49 gCO₂/t·nm),Chania 20,,,25/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,7902.64,,24682.8,17774.83,0.0,0.0,7946.11,783.43,23899.37,,1564.53,276.92,,,,7.84,99.7,864.91,,,,24.48,311.41,,1564.53,,,,,,,,,,,,,,,,
73,7911533,MOBY DADA,Ro-pax ship,2018.0,EIV (5.45 gCO₂/t·nm),Napoli,,IA Supper,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,13199.72,,41261.75,39157.21,0.0,0.0,2104.55,39611.28,1650.47,,3409.48,205.22,,,,400.16,11.72,641.49,,,,1250.89,36.64,,3409.48,,,,,,,,,,,,,,,,
74,7911545,STENA SAGA,Ro-pax ship,2018.0,,Stockholm,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,12831.0,,40465.85,38232.46,0.0,0.0,2233.38,34476.93,5988.92,,6840.0,131.18,,,,174.64,48.77,413.72,,,,550.78,153.8,,6840.0,,,,,,,,,,,,,,,,
75,7915096,OCEAN DREAM,Passenger ship,2018.0,,Panama,Yokohama,,14/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,3307.16,,10431.65,4121.38,4076.39,1391.42,842.49,,,,1330.0,181.8,,,,149.61,,573.45,,,,471.92,,,1330.0,,,,,,,,,,,,,,,,
80,7928811,ALMARIYA,Ro-pax ship,2018.0,,Limassol,,IA,24/05/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,8606.17,,27080.95,4427.56,8743.99,8743.99,3048.13,27080.95,27080.95,,3906.0,156.68,,,,0.77,1.17,493.01,,,,2.43,3.69,,3906.0,,,,,,,,,,,,,,,,
82,7931997,BALTIVIA,Ro-pax ship,2018.0,EIV (67.04 gCO₂/t·nm),Nassau,,,18/11/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,Yes,,,6166.7,,19485.76,16650.29,0.0,0.0,2835.47,389.7,19096.06,,3643.2,131.2,,,,,81.83,414.57,,,,,258.57,,3643.2,,,,,,,,,,,,,,,,
83,8000214,SAGA PEARL II,Passenger ship,2018.0,Not Applicable,Valletta,,,23/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,11823.66,,37493.49,33580.38,969.66,1055.24,1888.21,,,,7299.27,148.96,,,,444.02,,472.36,,,,1408.01,,,7299.27,,,,,,,,,,,,,,,,
84,8000226,WASA EXPRESS,Ro-pax ship,2018.0,Not Applicable,Vaasa,,IA,02/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,5456.9,,17494.82,14329.86,0.0,0.0,3164.96,5248.45,12246.37,,3784.3,121.49,,,,486.6,278.93,389.48,,,,1560.03,894.25,0.0,3784.3,0.0,,,,,,,,,,,,,,,
91,8019368,VESTERALEN,Ro-pax ship,2018.0,Not Applicable,Tromso,,,27/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4446.37,,14255.06,12549.32,0.0,0.0,1705.74,12687.01,1568.05,,6172.65,53.06,,,,,217.94,170.12,,,,,698.7,,6172.65,,,,,,,,,,,,,,,,
92,8020599,AKRITAS,Ro-ro ship,2018.0,,,,IA Supper,05/07/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,7092.5,,22161.73,16914.25,1449.37,2343.23,1454.88,,,,4501.45,107.17,61.93,,,,,334.88,193.51,,,,,,4501.45,,,,,,,,,,,,,,,,
93,8020604,ALEXO,Ro-ro ship,2018.0,Not Applicable,LIMASSOL,LIMASSOL,,25/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,5502.15,,17248.62,11673.14,1945.03,2176.01,1456.05,,,,4888.0,90.78,48484.16,,,,,284.6,151992.38,,,,,,4888.0,,,,,,,,,,,,,,,,
94,8020642,MOBY ZAZA',Ro-pax ship,2018.0,EIV (7.76 gCO₂/t·nm),Livorno,,IB,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,6636.79,,20905.97,18100.53,0.0,0.0,2805.44,20550.55,355.42,,3601.52,138.22,,,,461.87,11.9,435.38,,,,1454.88,37.49,,3601.52,,,,,,,,,,,,,,,,
95,8020927,PREVELIS,Ro-pax ship,2018.0,EIV (42.84 gCO₂/t·nm),RETHYMNO 6,,,25/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,8394.11,,26451.1,25237.03,0.0,0.0,1299.11,385.12,26065.99,,6058.58,94.96,,,,4.04,51.25,299.23,,,,12.77,161.48,,6058.58,,,,,,,,,,,,,,,,
98,8027298,MARELLA CELEBRATION,Passenger ship,2018.0,EEDI (16.35 gCO₂/t·nm),Valletta,,,26/06/2019,30/06/2020,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,,,9197.48,,28836.15,19585.93,2902.95,3119.25,3228.02,,,,3416.87,203.01,,,,164.58,,636.49,,,,515.99,,,3416.87,,,,,,,,,,,,,,,,
99,8030283,AVIVA,Ro-ro ship,2018.0,Not Applicable (0 gCO₂/t·nm),Lome,Lome,IA,28/03/2019,30/06/2020,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,,,,,896.12,,2815.44,75.55,1075.24,1403.0,261.65,,,,2192.44,54.57,52.06,,,,,171.46,163.58,,,,,,2192.44,,,,,,,,,,,,,,,,
109,8201480,ARTANIA,Passenger ship,2018.0,Not Applicable,Nassau,,,04/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,Yes,,11774.9,,37131.41,29813.57,1158.83,3871.94,2287.07,,,,5044.66,200.97,,,,199.49,,633.75,,,,629.07,,,5044.66,,,,,,,,,,,,,,,,
120,8208763,POETA LOPEZ ANGLADA,Ro-pax ship,2018.0,EIV (30.8 gCO₂/t·nm),Santa Cruz de Tenerife,,,16/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,7600.91,,23799.68,1877.81,10426.98,9949.46,1548.04,3612.8,20186.88,,3150.0,147.79,,,,429.08,426.3,462.74,,,,1343.52,1334.81,,3150.0,,,,,,,,,,,,,,,,
122,8217881,MAGELLAN,Passenger ship,2018.0,Not Applicable,,,,06/02/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,18163.44,,57480.01,44604.94,2194.36,2972.98,7707.73,,,,5561.68,242.52,,,,201.67,,767.48,,,,638.21,,,5561.68,,,,,,,,,,,,,,,,
123,8219906,SCILLA,Ro-pax ship,2018.0,EIV (123 gCO₂/t·nm),Catania,Messina,,03/07/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,2909.0,,9326.25,4850.0,0.0,0.0,4477.0,9326.25,9326.25,,2059.0,173.43,,,,3294.63,5584.89,556.03,,,,10562.57,17905.15,,2059.0,,,,,,,,,,,,,,,,
124,8219918,VILLA,Ro-pax ship,2018.0,EIV (123 gCO₂/t·nm),Catania,Messina,,03/07/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,1258.0,,4033.15,1936.0,0.0,0.0,2097.0,,4033.15,,817.0,188.75,,,,,2694.94,605.12,,,,,8639.99,,817.0,,,,,,,,,,,,,,,,
125,8222111,VASALAND,Ro-ro ship,2018.0,,,,PC1,05/07/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,7492.6,,23447.98,22031.57,0.0,0.0,1416.41,,,,5964.65,95.24,21.88,,,,,298.06,68.48,,,,,,5964.65,,,,,,,,,,,,,,,,
130,8302301,CHODZIEZ,Ro-ro ship,2018.0,Not Applicable,Valletta,,,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,3031.88,,9474.55,2117.58,3386.93,3254.41,715.64,,,,5236.43,80.36,41.11,,,,,251.12,128.46,,,,,,5236.43,,,,,,,,,,,,,,,,
131,8306486,MEGA SMERALDA,Ro-pax ship,2018.0,EIV (3.69 gCO₂/t·nm),Genova,,,28/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,14582.88,,45425.95,45260.03,0.0,0.0,171.05,3655.54,41770.41,,4567.48,192.52,,,,22.68,291.49,599.7,,,,70.66,908.01,,4567.48,,,,,,,,,,,,,,,,
132,8306498,MEGA ANDREA,Ro-pax ship,2018.0,EIV (3.84 gCO₂/t·nm),Genova,,,28/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,16024.4,,49905.96,49770.2,0.0,0.0,142.18,3992.47,45913.49,,4838.83,196.67,,,,24.25,263.0,612.5,,,,75.54,819.09,,4838.83,,,,,,,,,,,,,,,,
142,8311912,GREIFSWALD,Ro-pax ship,2018.0,,,,IB,03/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
148,8317942,COLOR VIKING,Ro-pax ship,2018.0,EIV (137 gCO₂/t·nm),,,IB,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,6100.47,,19558.11,16701.13,0.0,0.0,2856.98,16037.66,3520.44,,3802.07,123.31,,,,239.58,72.91,395.33,,,,768.08,233.75,0.0,3802.07,0.0,,,,,,,,,,,,,,,
149,8317954,STENA NAUTICA,Ro-pax ship,2018.0,,Gothenburg,,,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,6752.0,,21302.72,19645.09,0.0,0.0,1657.0,13037.09,8265.63,,5720.0,98.17,,,,469.48,36.04,309.74,,,,1481.29,113.7,,5720.0,,,,,,,,,,,,,,,,
150,8320573,MARIELLA,Ro-pax ship,2018.0,EIV (15 gCO₂/t·nm),Mariehamn,Mariehamn,IA Supper,27/06/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,15410.0,,48556.91,45300.0,0.0,0.0,3240.0,10335.28,34976.1,,6331.0,155.34,,,,23.26,114.43,489.49,,,,73.3,360.58,,6331.0,,,,,,,,,,,,,,,,
152,8400036,MAESTRO UNIVERSE,Ro-ro ship,2018.0,,,,,24/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,Yes,,1997.0,,6312.13,2103.0,2396.0,1145.0,668.0,,,,3385.0,64.33,78.7,,,,,203.34,248.77,,,,,,3385.0,,,,,,,,,,,,,,,,
154,8401133,MAESTRO SUN,Ro-ro ship,2018.0,Not Applicable,Majuro,Majuro,,24/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,Yes,,1852.0,,5797.86,0.0,2373.0,2373.0,1052.0,,,,2330.0,119.99,0.12,,,,,375.63,0.36,,,,,,2330.0,,,,,,,,,,,,,,,,
155,8401444,SAILOR,Ro-pax ship,2018.0,EIV (84.8 gCO₂/t·nm),Tallinn,Paldiski,IA Supper,02/07/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,6309.0,,19764.72,16798.16,0.0,0.0,2966.56,19764.72,19764.72,,4146.0,116.79,,,,2.49,0.08,365.88,,,,7.8,0.27,,4146.0,,,,,,,,,,,,,,,,
156,8407735,MARELLA DREAM,Passenger ship,2018.0,EEDI (21.85 gCO₂/t·nm),Valletta,,,29/06/2019,30/06/2020,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,,,19271.1,,60255.16,46301.61,3736.63,2524.21,7692.71,,,,4290.33,283.09,,,,184.57,,885.13,,,,577.11,,,4290.33,,,,,,,,,,,,,,,,
159,8414582,SPL PRINCESS ANASTASIA,Ro-pax ship,2018.0,EIV (3.76 gCO₂/t·nm),Napoli,,IA Supper,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,9927.42,,31282.95,10010.51,9061.38,8337.31,3873.76,25526.87,5756.08,,4322.5,169.68,,,,122.52,52.2,534.68,,,,386.08,164.49,,4322.5,,,,,,,,,,,,,,,,
163,8416308,SNAV ADRIATICO,Ro-pax ship,2018.0,EIV (39.97 gCO₂/t·nm),Napoli,Napoli,,03/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,Yes,,,10133.76,,31830.98,27664.0,0.0,0.0,4167.0,27056.25,4774.73,,3264.0,199.08,,,,354.84,0.05,625.31,,,,1114.57,0.14,,3264.0,,,,,,,,,,,,,,,,
164,8417118,SAFFET BEY,Ro-ro ship,2018.0,EIV (19.9 gCO₂/t·nm),,,,27/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,1915.0,1730.0,5980.33,0.0,3002.57,2827.08,150.68,,,5387.22,2029.0,66.77,22.62,,,,,208.52,70.65,,,,,,2029.0,,,,20.44,,,,,,63.64,,,,,,
172,8420842,WOLIN,Ro-pax ship,2018.0,EIV (16.84 gCO₂/t·nm),Nassau,,,02/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,7286.06,,22960.07,21557.37,0.0,0.0,1402.73,5740.0,17220.07,,5739.26,104.42,,,,617.35,36.7,329.05,,,,1945.42,115.64,,5739.26,,,,,,,,,,,,,,,,
174,8501464,ULUSOY-5,Ro-ro ship,2018.0,EIV (19.9 gCO₂/t·nm),ISTANBUL,ISTANBUL,,27/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,3929.0,3391.0,12271.61,1601.54,5111.22,5392.14,166.71,,,10559.57,4800.0,78.41,25.87,,,,,244.9,80.8,,,,,,4800.0,,,70.79,22.33,,,,,220.44,69.53,,,,,,
176,8502391,PRINCESS SEAWAYS,Ro-pax ship,2018.0,EIV (5.27 gCO₂/t·nm),København,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,14782.6,,46051.78,42577.88,0.0,0.0,3473.9,46051.78,46051.78,,5799.48,159.6,153.59,,,185.48,,497.21,478.46,,,577.81,,,5799.48,,,,,,,,,,,,,,,,
177,8502406,KING SEAWAYS,Ro-pax ship,2018.0,EIV (4.29 gCO₂/t·nm),København,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,16263.04,,50670.89,47229.71,0.0,0.0,3441.16,50670.89,50670.89,,6078.33,171.71,163.02,,,189.54,,535.0,507.91,,,590.55,,,6078.33,,,,,,,,,,,,,,,,
180,8506294,BALMORAL,Passenger ship,2018.0,Not Applicable,Nassau,,,14/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,Yes,Yes,,16971.07,,53872.53,41596.61,0.0,4873.97,7401.95,,,,7175.0,210.16,,,,215.58,,667.11,,,,684.32,,,7175.0,,,,,,,,,,,,,,,,
181,8506311,OSCAR WILDE,Ro-pax ship,2018.0,EIV (94.6 gCO₂/t·nm),Nassau,,IB,26/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,15344.04,,48389.31,44038.48,0.0,0.0,4350.82,48389.31,48389.31,,5610.57,168.55,,,,0.73,0.96,531.55,,,,2.31,3.04,,5610.57,,,,,,,,,,,,,,,,
182,8506373,ASTOR,Passenger ship,2018.0,Not Applicable,,,,06/02/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,5695.8,,18157.83,12952.73,2028.57,1467.56,1708.97,,,,3200.98,136.1,,,,321.62,,433.89,,,,1025.31,,,3200.98,,,,,,,,,,,,,,,,
185,8512152,AL ANDALUS EXPRESS,Ro-pax ship,2018.0,EIV (36.93 gCO₂/t·nm),LIMASSOL,LAS PALMAS,,19/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,Yes,,,6341.72,,19850.94,15537.65,541.49,571.76,3200.04,1200.69,18650.26,,2946.68,133.52,,,,115.63,115.63,417.95,,,,361.94,361.94,,2946.68,,,,,,,,,,,,,,,,
186,8512281,SOVEREIGN,Passenger ship,2018.0,Not Applicable,Valletta,,,02/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,14529.54,,45463.18,38913.34,2780.91,2908.38,860.56,,,,5899.06,263.81,,,,109.47,,825.46,,,,342.53,,,5899.06,,,,,,,,,,,,,,,,
189,8515893,VINTERLAND,Ro-ro ship,2018.0,,,,IA Supper,05/07/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,5011.5,,15664.97,15104.38,0.0,0.0,560.59,,,,6560.17,65.33,15.55,,,,,204.21,48.6,,,,,,6560.17,,,,,,,,,,,,,,,,
196,8601915,AMORELLA,Ro-pax ship,2018.0,EIV (16 gCO₂/t·nm),Mariehamn,Mariehamn,IA Supper,27/06/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,17224.0,,54272.82,51900.0,0.0,0.0,2250.0,12320.41,39702.6,,7368.0,149.77,,,,42.36,129.1,471.94,,,,133.48,406.79,,7368.0,,,,,,,,,,,,,,,,
197,8604711,JAN SNIADECKI,Ro-pax ship,2018.0,Not Applicable,Limassol,,IB,29/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,5583.65,,17594.08,15771.64,0.0,0.0,1822.46,17594.08,,,5026.13,85.46,,,,3096.33,0.0,269.3,,,,9756.54,0.0,0.0,5026.13,0.0,,,,,,,,,,,,,,,
200,8611398,COLUMBUS,Passenger ship,2018.0,Not Applicable,,,,07/02/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,14446.99,,45896.22,40636.12,337.81,335.35,4586.95,,,,4465.28,253.29,,,,193.92,,804.67,,,,616.07,,,4465.28,,,,,,,,,,,,,,,,
202,8616336,BLUE HORIZON,Ro-pax ship,2018.0,EIV (21.46 gCO₂/t·nm),Piraeus,,,24/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,10432.92,,32942.22,28960.12,0.0,0.0,3982.1,6172.27,30752.06,,3347.8,172.79,,,,54.57,35.62,545.6,,,,173.87,112.48,,3347.8,,,,,,,,,,,,,,,,
205,8618358,HUCKLEBERRY FINN,Ro-pax ship,2018.0,EIV (58 gCO₂/t·nm),Trelleborg,,IA,13/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,11756.46,,37045.64,34263.44,0.0,0.0,2782.21,17781.91,19263.74,,6179.0,139.34,,,,421.54,31.72,439.09,,,,1328.31,99.96,0.0,6179.0,0.0,,,,,,,,,,,,,,,
209,8700723,ISABELLE,Ro-pax ship,2018.0,EIV (2.68 gCO₂/t·nm),Riga,Riga,IA Supper,20/05/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,16338.76,,51483.49,46392.17,0.0,0.0,5091.33,42579.18,3812.99,,6156.5,165.98,,,,126.23,16.6,522.99,,,,397.76,52.32,,6156.5,,,,,,,,,,,,,,,,
210,8701674,PEARL SEAWAYS,Ro-pax ship,2018.0,EIV (2.14 gCO₂/t·nm),København,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,13349.95,,41616.12,37185.84,0.0,0.0,4430.26,41616.12,41616.12,,6326.52,135.48,220.23,,,118.33,,422.33,686.52,,,368.86,,,6326.52,,,,,,,,,,,,,,,,
