,country,code,name,latitude,longitude
31516,FR,RNE,Roanne-Renaison Airport,46.05830001831055,4.001389980316162
31343,FR,RCO,Rochefort-Saint-Agnant (BA 721) Airport,45.88779830932617,-0.9830560088157654
31322,FR,RDZ,Rodez-Marcillac Airport,44.407901763916016,2.4826700687408447
31588,FR,URO,Rouen Airport,49.38420104980469,1.1748000383377075
31329,FR,RYN,Royan-Médis Airport,45.62810134887695,-0.9725000262260436
31667,FR,SBK,Saint-Brieuc-Armor Airport,48.5378,-2.8544400000000003
31671,FR,SNR,Saint-Nazaire-Montoir Airport,47.3105556,-2.1566667
31515,FR,SYT,Saint-Yan Airport,46.412498474121094,4.0132598876953125
31534,FR,EBU,Saint-Étienne-Bouthéon Airport,45.54059982299805,4.2963900566101065
31498,FR,SOZ,Solenzara (BA 126) Air Base,41.924400329589844,9.406000137329102
31691,FR,SXB,Strasbourg Airport,48.53829956054688,7.628230094909668
31299,FR,LDE,Tarbes-Lourdes-Pyrénées Airport,43.1786994934082,-0.006438999902456999
31699,FR,TLN,Toulon-Hyères Airport,43.0973014832,6.14602994919
31295,FR,TLS,Toulouse-Blagnac Airport,43.629101,1.36382
31592,FR,TUF,Tours-Val-de-Loire Airport,47.4322013855,0.727605998516
31611,FR,TNF,Toussus-le-Noble Airport,48.75189971923828,2.1061899662017822
31522,FR,VAF,Valence-Chabeuil Airport,44.9216,4.9699
31278,FR,XVS,Valenciennes-Denain Airport,50.32580184936523,3.4612600803375244
31669,FR,VNE,Vannes-Meucon Airport,47.72330093383789,-2.718559980392456
31523,FR,VHY,Vichy-Charmeil Airport,46.169700622558594,3.4037399291992188
31618,FR,VIY,Villacoublay-Vélizy (BA 107) Air Base,48.7741667,2.1916667000000003
31678,FR,EPL,Épinal-Mirecourt Airport,48.325001,6.06998
31577,FR,EVX,Évreux-Fauville (BA 105) Air Base,49.02870178222656,1.219859957695007
31379,FR,IDY,Île d'Yeu Airport,46.71860122680664,-2.3911099433898926
18762,GB,ABZ,Aberdeen Dyce Airport,57.20190048217773,-2.1977798938751216
18756,GB,VLY,Anglesey Airport,53.248100280799996,-4.53533983231
18774,GB,BRR,Barra Airport,57.0228,-7.443060000000001
18739,GB,BWF,Barrow Walney Island Airport,54.1286111,-3.2675
18586,GB,BFS,Belfast International Airport,54.6575012207,-6.21582984924
18770,GB,BEB,Benbecula Airport,57.48109817504883,-7.362780094146728
18595,GB,BHX,Birmingham International Airport,52.4538993835,-1.7480299472799998
18713,GB,BBS,Blackbushe Airport,51.32389831542969,-0.8475000262260437
18736,GB,BLK,Blackpool International Airport,53.77170181274414,-3.0286099910736084
18680,GB,BOH,Bournemouth Airport,50.77999877929688,-1.8424999713897705
18669,GB,BRS,Bristol Airport,51.382702,-2.71909
18786,GB,CBG,Cambridge Airport,52.205002,0.175
18648,GB,CAL,Campbeltown Airport,55.43719863891602,-5.686389923095702
18666,GB,CWL,Cardiff International Airport,51.39670181274414,-3.343329906463623
18731,GB,CAX,Carlisle Airport,54.9375,-2.8091700077056885
18590,GB,LDY,City of Derry Airport,55.04280090332031,-7.161109924316406
18598,GB,CVT,Coventry Airport,52.3697013855,-1.47971999645
18772,GB,DND,Dundee Airport,56.45249938964844,-3.0258300304412837
18747,GB,MME,Durham Tees Valley Airport,54.50920104980469,-1.4294099807739258
18749,GB,EMA,East Midlands Airport,52.8311004639,-1.32806003094
18649,GB,EOI,Eday Airport,59.19060134887695,-2.7722198963165283
18766,GB,EDI,Edinburgh Airport,55.95000076293945,-3.372499942779541
18812,GB,EXT,Exeter International Airport,50.73440170288086,-3.4138898849487305
18650,GB,FIE,Fair Isle Airport,59.53580093383789,-1.628059983253479
18710,GB,FAB,Farnborough Airport,51.275798797600004,-0.776332974434
18588,GB,BHD,George Best Belfast City Airport,54.61809921264648,-5.872499942779541
18764,GB,GLA,Glasgow International Airport,55.871899,-4.43306
18769,GB,PIK,Glasgow Prestwick Airport,55.5093994140625,-4.586669921875
18601,GB,GLO,Gloucestershire Airport,51.89419937133789,-2.1672201156616206
18665,GB,HAW,Haverfordwest Airport,51.83309936523438,-4.9611101150512695
18743,GB,CEG,Hawarden Airport,53.1781005859375,-2.977780103683472
18738,GB,HUY,Humberside Airport,53.57440185546875,-0.350832998752594
18763,GB,INV,Inverness Airport,57.54249954223633,-4.047500133514403
18767,GB,ILY,Islay Airport,55.68190002441406,-6.256669998168945
18759,GB,KOI,Kirkwall Airport,58.957801818847656,-2.9049999713897705
18675,GB,LEQ,Land's End Airport,50.102798,-5.67056
18684,GB,QLA,Lasham Airport,51.18719863891602,-1.0334999561309814
18740,GB,LBA,Leeds Bradford Airport,53.86589813232422,-1.6605700254440308
18671,GB,LPL,Liverpool John Lennon Airport,53.33359909057617,-2.849720001220703
18698,GB,BQH,London Biggin Hill Airport,51.330799102799986,0.032499998807900006
18708,GB,LCY,London City Airport,51.505299,0.055277999999999994
18703,GB,LGW,London Gatwick Airport,51.148102,-0.190278
18714,GB,LHR,London Heathrow Airport,51.4706,-0.461941
18672,GB,LTN,London Luton Airport,51.87469863891602,-0.36833301186561584
18801,GB,STN,London Stansted Airport,51.8849983215,0.23499999940400002
18722,GB,LYX,Lydd Airport,50.95610046386719,0.939167022705078
18615,GB,MAN,Manchester Airport,53.35369873046875,-2.2749500274658203
18745,GB,NCL,Newcastle Airport,55.037498474121094,-1.6916699409484863
18688,GB,NQY,Newquay Cornwall Airport,50.44060134887695,-4.995409965515137
18790,GB,NWI,Norwich International Airport,52.675800323500006,1.28278005123
18605,GB,NQT,Nottingham Airport,52.91999816894531,-1.079169988632202
22805,GB,OUK,Outer Skerries Airport,60.4252,-0.75
18817,GB,OXF,Oxford (Kidlington) Airport,51.8368988037,-1.32000005245
31054,GB,AKT,RAF Akrotiri,34.590401,32.9879
18824,GB,BEX,RAF Benson,51.616401672399995,-1.09582996368
18840,GB,BZZ,RAF Brize Norton,51.75,-1.58362
18852,GB,QCY,RAF Coningsby,53.0929985046,-0.166014000773
18835,GB,FFD,RAF Fairford,51.6822013855,-1.7900300025900002
18856,GB,BEQ,RAF Honington,52.34260177612305,0.7729390263557434
18781,GB,FSS,RAF Kinloss,57.6493988037,-3.5606400966600003
18827,GB,LKZ,RAF Lakenheath,52.409301757799994,0.5609999895100001
18782,GB,ADX,RAF Leuchars,56.37289810180664,-2.8684399127960205
18863,GB,HRT,RAF Linton-On-Ouse,54.0489006042,-1.2527500391
18783,GB,LMO,RAF Lossiemouth,57.7052001953125,-3.339169979095459
18872,GB,KNF,RAF Marham,52.648394999999994,0.550692
18828,GB,MHZ,RAF Mildenhall,52.361900329589844,0.4864059984683991
18848,GB,NHT,RAF Northolt,51.5530014038,-0.418166995049
18841,GB,ODH,RAF Odiham,51.2341003418,-0.9428250193600001
18859,GB,SQZ,RAF Scampton,53.307800293,-0.550832986832
18865,GB,WTN,RAF Waddington,53.1661987305,-0.5238109827040001
18834,GB,QUY,RAF Wyton,52.357200622600004,-0.107832998037
18646,GB,YEO,RNAS Yeovilton,51.0093994140625,-2.638819932937622
18624,GB,DSA,Robin Hood Doncaster Sheffield Airport,53.4805378105,-1.01065635681
18771,GB,SCS,Scatsta Airport,60.43280029296875,-1.2961100339889526
18697,GB,ESH,Shoreham Airport,50.835602,-0.297222
18681,GB,SOU,Southampton Airport,50.95029830932617,-1.3567999601364136
18721,GB,SEN,Southend Airport,51.5713996887207,0.6955559849739075
18587,GB,ENK,St Angelo Airport,54.39889907836914,-7.651669979095459
18677,GB,ISC,St. Mary's Airport,49.91329956054688,-6.291669845581055
18773,GB,SYY,Stornoway Airport,58.215599060058594,-6.3311100006103525
18760,GB,LSI,Sumburgh Airport,59.87889862060547,-1.295560002326965
18667,GB,SWS,Swansea Airport,51.60530090332031,-4.0678300857543945
18777,GB,TRE,Tiree Airport,56.49919891357422,-6.869170188903809
18741,GB,WRT,Warton Airport,53.745098,-2.88306
18761,GB,WIC,Wick Airport,58.458900451660156,-3.09306001663208
18694,GG,ACI,Alderney Airport,49.706103999999996,-2.2147200000000002
18695,GG,GCI,Guernsey Airport,49.43500137329102,-2.601969957351685
31778,GR,PVK,Aktion National Airport,38.92549896240234,20.765300750732425
31761,GR,KVA,Alexander the Great International Airport,40.91329956054688,24.619199752807614
31734,GR,PYR,Andravida Air Base,37.9207,21.292601
31782,GR,GPA,Araxos Airport,38.1511,21.4256
31783,GR,CHQ,Chania International Airport,35.531700134277344,24.149700164794922
31745,GR,JKH,Chios Island National Airport,38.34320068359375,26.14060020446777
31780,GR,RHO,Diagoras Airport,36.40539932250977,28.086200714111328
31736,GR,AXD,Dimokritos Airport,40.855899810791016,25.956300735473636
31739,GR,ATH,Eleftherios Venizelos International Airport,37.9364013672,23.944499969499997
