city_a,city_b,imo,companyName,ship,city_a_slug,city_b_slug,city_a_country_code,city_a_latitude,city_a_longitude,city_b_country_code,city_b_latitude,city_b_longitude,city_a_geonameid,city_b_geonameid,name
Kiel,Klaipeda,9458535.0,DFDS Seaways,Regina Seaways,kiel,klaipeda,DE,54.32133,10.134889999999999,LT,55.7068,21.139120000000002,2891122.0,598098.0,REGINA SEAWAYS
Klaipeda,Trelleborg,8703232.0,TT Line,Tom Sawyer,klaipeda,trelleborg,LT,55.7068,21.139120000000002,SE,55.37514,13.15691,598098.0,2667402.0,TOM SAWYER
Le Pirée,Limnos (Myrina),9208679.0,Blue Star Ferries,Nissos Mykonos,le-piree,limnos-myrina,GR,37.942029999999995,23.64619,GR,39.874829999999996,25.063589999999998,255274.0,256930.0,NISSOS MYKONOS
Le Pirée,Lipsi,9215555.0,Blue Star Ferries,Nissos Chios,le-piree,lipsi,GR,37.942029999999995,23.64619,GR,37.28333,26.76667,255274.0,258261.0,NISSOS CHIOS
Le Pirée,Mykonos,9241774.0,Blue Star Ferries,Blue Star Paros,le-piree,mykonos,GR,37.942029999999995,23.64619,GR,37.44529,25.32872,255274.0,257056.0,BLUE STAR PAROS
Le Pirée,Mytilene,9208679.0,Blue Star Ferries,Nissos Mykonos,le-piree,mytilene,GR,37.942029999999995,23.64619,GR,39.10772,26.555290000000003,255274.0,256866.0,NISSOS MYKONOS
Le Pirée,Naxos,9565039.0,Blue Star Ferries,Blue Star Delos,le-piree,naxos,GR,37.942029999999995,23.64619,GR,37.10556,25.37639,255274.0,256632.0,BLUE STAR DELOS
Le Pirée,Oinousses,8704406.0,Blue Star Ferries,Nissos Rodos,le-piree,oinousses,GR,37.942029999999995,23.64619,GR,38.51458,26.222409999999996,255274.0,256329.0,NISSOS RODOS
Le Pirée,Paros,9241786.0,Blue Star Ferries,Blue Star Naxos,le-piree,paros,GR,37.942029999999995,23.64619,GR,37.08333,25.15,255274.0,255721.0,BLUE STAR NAXOS
Le Pirée,Patmos,9207584.0,Blue Star Ferries,Blue Star 2,le-piree,patmos,GR,37.942029999999995,23.64619,GR,37.30895,26.54723,255274.0,255688.0,BLUE STAR 2
Le Pirée,Psara,8704406.0,Blue Star Ferries,Nissos Rodos,le-piree,psara,GR,37.942029999999995,23.64619,GR,38.54097,25.56287,255274.0,256163.0,NISSOS RODOS
Le Pirée,Rhodes,9197105.0,Blue Star Ferries,Blue Star 1,le-piree,rhodes,GR,37.942029999999995,23.64619,GR,36.435559999999995,28.22199,255274.0,400666.0,BLUE STAR 1
Le Pirée,Symi (Simi),9197105.0,Blue Star Ferries,Blue Star 1,le-piree,symi-simi,GR,37.942029999999995,23.64619,GR,36.61547,27.836190000000002,255274.0,253858.0,BLUE STAR 1
Le Pirée,Syros,9241774.0,Blue Star Ferries,Blue Star Paros,le-piree,syros,GR,37.942029999999995,23.64619,GR,37.44997,24.93562,255274.0,264839.0,BLUE STAR PAROS
Le Pirée,Théra (Santorin),9197105.0,Blue Star Ferries,Blue Star 1,le-piree,thera-santorin,GR,37.942029999999995,23.64619,GR,36.42107,25.430870000000002,255274.0,252920.0,BLUE STAR 1
Le Pirée,Théra (Santorin),9565039.0,Blue Star Ferries,Blue Star Delos,le-piree,thera-santorin,GR,37.942029999999995,23.64619,GR,36.42107,25.430870000000002,255274.0,252920.0,BLUE STAR DELOS
Le Pirée,Tilos,9215555.0,Blue Star Ferries,Nissos Chios,le-piree,tilos,GR,37.942029999999995,23.64619,GR,36.45505,27.34563,255274.0,257400.0,NISSOS CHIOS
Le Pirée,Tinos,9241774.0,Blue Star Ferries,Blue Star Paros,le-piree,tinos,GR,37.942029999999995,23.64619,GR,37.53753,25.163429999999998,255274.0,252854.0,BLUE STAR PAROS
Le Pirée,Vathi,9197105.0,Blue Star Ferries,Blue Star 1,le-piree,vathi,GR,37.942029999999995,23.64619,GR,38.4049,23.60332,255274.0,252164.0,BLUE STAR 1
Liepaja,Travemunde,7826855.0,Stena Line,Urd,liepaja,travemunde,LV,56.504740000000005,21.01085,DE,53.96304,10.8709,457954.0,2821480.0,URD
Limnos (Myrina),Mykonos,9208679.0,Blue Star Ferries,Nissos Mykonos,limnos-myrina,mykonos,GR,39.874829999999996,25.063589999999998,GR,37.44529,25.32872,256930.0,257056.0,NISSOS MYKONOS
Limnos (Myrina),Mytilene,9215555.0,Blue Star Ferries,Nissos Chios,limnos-myrina,mytilene,GR,39.874829999999996,25.063589999999998,GR,39.10772,26.555290000000003,256930.0,256866.0,NISSOS CHIOS
Limnos (Myrina),Syros,9208679.0,Blue Star Ferries,Nissos Mykonos,limnos-myrina,syros,GR,39.874829999999996,25.063589999999998,GR,37.44997,24.93562,256930.0,264839.0,NISSOS MYKONOS
Limnos (Myrina),Vathi,9208679.0,Blue Star Ferries,Nissos Mykonos,limnos-myrina,vathi,GR,39.874829999999996,25.063589999999998,GR,38.4049,23.60332,256930.0,252164.0,NISSOS MYKONOS
Lipsi,Rhodes,9215555.0,Blue Star Ferries,Nissos Chios,lipsi,rhodes,GR,37.28333,26.76667,GR,36.435559999999995,28.22199,258261.0,400666.0,NISSOS CHIOS
Lipsi,Symi (Simi),9565041.0,Blue Star Ferries,Blue Star Patmos,lipsi,symi-simi,GR,37.28333,26.76667,GR,36.61547,27.836190000000002,258261.0,253858.0,BLUE STAR PATMOS
Lipsi,Tilos,9565041.0,Hellenic Seaways,Blue Star Patmos,lipsi,tilos,GR,37.28333,26.76667,GR,36.45505,27.34563,258261.0,257400.0,BLUE STAR PATMOS
Malaga,Melilla,9243423.0,Balearia,Napoles,malaga,melilla,ES,36.72016,-4.42034,ES,35.293690000000005,-2.93833,2514256.0,2513947.0,NAPOLES
Mariehamn,Tallinn,9281281.0,Tallink Silja,Victoria I,mariehamn,tallinn,AX,60.09726,19.93481,EE,59.43696,24.753529999999998,3041732.0,588409.0,VICTORIA I
Mykonos,Mytilene,9208679.0,Blue Star Ferries,Nissos Mykonos,mykonos,mytilene,GR,37.44529,25.32872,GR,39.10772,26.555290000000003,257056.0,256866.0,NISSOS MYKONOS
Mykonos,Naxos,9000443.0,Cyclades Fast Ferries,Ekaterini P,mykonos,naxos,GR,37.44529,25.32872,GR,37.10556,25.37639,257056.0,256632.0,EKATERINI P.
Mykonos,Rafina,8907280.0,Cyclades Fast Ferries,Fast Ferries Andros,mykonos,rafina,GR,37.44529,25.32872,GR,38.01812,24.00599,257056.0,254425.0,FAST FERRIES ANDROS
Mykonos,Rafina,9000443.0,Cyclades Fast Ferries,Ekaterini P,mykonos,rafina,GR,37.44529,25.32872,GR,38.01812,24.00599,257056.0,254425.0,EKATERINI P.
Mykonos,Syros,9241786.0,Blue Star Ferries,Blue Star Naxos,mykonos,syros,GR,37.44529,25.32872,GR,37.44997,24.93562,257056.0,264839.0,BLUE STAR NAXOS
Mykonos,Tinos,8907280.0,Cyclades Fast Ferries,Fast Ferries Andros,mykonos,tinos,GR,37.44529,25.32872,GR,37.53753,25.163429999999998,257056.0,252854.0,FAST FERRIES ANDROS
Mykonos,Tinos,9241774.0,Blue Star Ferries,Blue Star Paros,mykonos,tinos,GR,37.44529,25.32872,GR,37.53753,25.163429999999998,257056.0,252854.0,BLUE STAR PAROS
Mykonos,Vathi,9208679.0,Blue Star Ferries,Nissos Mykonos,mykonos,vathi,GR,37.44529,25.32872,GR,38.4049,23.60332,257056.0,252164.0,NISSOS MYKONOS
Mytilene,Oinousses,8704406.0,Blue Star Ferries,Nissos Rodos,mytilene,oinousses,GR,39.10772,26.555290000000003,GR,38.51458,26.222409999999996,256866.0,256329.0,NISSOS RODOS
Mytilene,Psara,8704406.0,Blue Star Ferries,Nissos Rodos,mytilene,psara,GR,39.10772,26.555290000000003,GR,38.54097,25.56287,256866.0,256163.0,NISSOS RODOS
Mytilene,Syros,9215555.0,Blue Star Ferries,Nissos Chios,mytilene,syros,GR,39.10772,26.555290000000003,GR,37.44997,24.93562,256866.0,264839.0,NISSOS CHIOS
Mytilene,Vathi,9208679.0,Blue Star Ferries,Nissos Mykonos,mytilene,vathi,GR,39.10772,26.555290000000003,GR,38.4049,23.60332,256866.0,252164.0,NISSOS MYKONOS
Nador,Sète,8712520.0,Grandi Navi Veloci,Gnv Atlas,nador,sete,DZ,35.18568,1.4961200000000001,FR,43.4028,3.6927800000000004,2479247.0,2974733.0,GNV ATLAS
Naxos,Paros,9565039.0,Blue Star Ferries,Blue Star Delos,naxos,paros,GR,37.10556,25.37639,GR,37.08333,25.15,256632.0,255721.0,BLUE STAR DELOS
Naxos,Rafina,9000443.0,Cyclades Fast Ferries,Ekaterini P,naxos,rafina,GR,37.10556,25.37639,GR,38.01812,24.00599,256632.0,254425.0,EKATERINI P.
Naxos,Théra (Santorin),9565039.0,Blue Star Ferries,Blue Star Delos,naxos,thera-santorin,GR,37.10556,25.37639,GR,36.42107,25.430870000000002,256632.0,252920.0,BLUE STAR DELOS
Nynashamn,Ventspils,9417919.0,Stena Line,Stena Flavia,nynashamn,ventspils,SE,58.903369999999995,17.94793,LV,57.39485,21.56121,2687636.0,454310.0,STENA FLAVIA
Nynashamn,Ventspils,9435454.0,Stena Line,Scottish Viking,nynashamn,ventspils,SE,58.903369999999995,17.94793,LV,57.39485,21.56121,2687636.0,454310.0,SCOTTISH VIKING
Oinousses,Psara,8712635.0,Blue Star Ferries,Nissos Samos,oinousses,psara,GR,38.51458,26.222409999999996,GR,38.54097,25.56287,256329.0,256163.0,NISSOS SAMOS
Palerme,Tunis,9100267.0,Grandi Navi Veloci,Fantastic,palerme,tunis,IT,38.13205,13.33561,TN,36.81897,10.16579,2523920.0,2464470.0,FANTASTIC
Palma,Valence,9137997.0,Balearia,Rosalind Franklin,palma,valence,ES,39.569390000000006,2.65024,ES,39.46975,-0.37739,2512989.0,2509954.0,ROSALIND FRANKLIN
